ID,Rural,Income,Race,Expenditure,Kids
1000575,0,12000,1,9519.2001,3
1000576,0,68000,1,7087,0
1000577,0,13600,1,6897.0334,2
1000578,0,447084,1,24025.1667,1
1000579,0,291000,1,16278.9555,0
1000580,0,114554,1,8253.6667,0
1000581,0,7000,1,4271.5667,0
1000582,0,11395,1,1585.6667,0
1000583,0,28338,1,5930,0
1000584,1,15000,2,1734.6667,0
1000585,0,74000,1,11562.5,0
1000586,0,103358,1,15374.6887,0
1000587,0,4252,1,18927.3333,0
1000588,0,35478,1,5540.6667,0
1000589,1,75000,1,9473.3667,0
1000590,0,63300,1,12480.8333,0
1000591,1,12798,1,2336,0
1000592,0,87000,1,8661.8333,0
1000593,0,230000,1,16147,0
1000594,0,31200,1,5076.1667,0
1000595,0,521826,1,16676.1889,0
1000596,0,87000,1,11304.1667,1
1000597,0,120000,1,10307.3332,0
1000598,0,42540,2,11267.3333,0
1000599,0,95526,1,6468.3333,6
1000600,0,20006,1,8642.1666,1
1000601,0,22368,1,2881.3333,0
1000602,0,200,1,11413.5333,0
1000603,1,26426,1,4888.0001,0
1000604,0,138823,1,18195.6667,0
1000605,0,60228,1,18606.6667,0
1000606,0,62526,1,8038.1333,0
1000607,0,16026,1,4731,0
1000608,0,172000,1,14507,0
1000609,0,133155,1,20778.8556,0
1000610,0,27390,2,2843.6667,0
1000611,1,36716,1,4735,0
1000612,0,134000,1,51624.0221,2
1000613,0,8826,1,4171.3333,0
1000614,0,72804,1,7842.6667,0
1000615,0,18498,1,3220.3333,0
1000616,0,104910,1,8205.3333,0
1000617,0,25500,1,3640.8333,0
1000618,0,22904,1,2991.6667,0
1000619,0,98000,4,16367.1888,0
1000620,0,113000,4,32572.6667,3
1000621,0,75000,1,24313.6667,0
1000622,0,55000,4,9015.0001,0
1000623,0,86000,1,9501.0333,0
1000624,0,75000,1,8788.5333,2
1000625,0,26106,1,10330.6667,0
1000626,0,13000,1,16833.6667,0
1000627,0,950,2,5801.3333,3
1000628,0,126800,4,12170.9999,1
1000629,0,70500,4,3110.6667,0
1000630,0,55000,1,6441.1666,0
1000631,1,55000,1,26197.6667,2
1000632,0,37626,2,3346.3333,0
1000633,0,100000,1,8383.0001,1
1000634,0,408091,1,42054.6665,0
1000635,0,78000,1,11116.5001,1
1000636,0,343084,4,14597.1666,0
1000637,0,132500,1,13508.4999,0
1000638,1,86000,1,13282.8554,1
1000639,0,114131,1,12902.8334,0
1000640,0,1261,2,3161.3333,0
1000641,0,65526,6,7213,0
1000642,0,1814,4,4767.8333,0
1000643,0,70000,1,9078.8333,0
1000644,0,15000,2,3896.3334,0
1000645,0,81000,1,15860.3554,2
1000646,0,126671,1,9171.1667,2
1000647,0,54744,1,5176.8334,0
1000648,0,14094,6,1940.6667,0
1000649,0,157658,1,24388.1668,0
1000650,0,120000,1,9122.6667,3
1000651,0,61000,1,8318.3999,0
1000652,0,48000,2,9721,0
1000653,0,142000,1,14858.4999,3
1000654,0,25180,1,3734.5001,0
1000655,0,86000,1,6069.5,2
1000656,0,45779,1,4252.6667,0
1000657,0,67005,1,4870.6667,0
1000658,0,479084,4,27313.9999,2
1000659,0,23554,1,4673.3333,0
1000660,0,23892,1,3501,0
1000661,0,35000,1,6682.3334,0
1000662,0,27000,1,4572.3334,0
1000663,0,51000,1,14722.3334,2
1000664,0,37200,1,3605.6667,0
1000665,0,105445,1,8531.3333,0
1000666,0,67000,1,6772.0001,0
1000667,0,41913,1,10426.3333,0
1000668,0,187500,1,25466.5221,0
1000669,0,85000,1,8175.5001,2
1000670,0,17280,2,2482.3333,0
1000671,0,47687,1,11846.3333,0
1000672,0,109000,1,16513.3999,0
1000673,0,152340,1,20143.5221,0
1000674,0,137000,1,12247.1667,0
1000675,0,19312,1,3308.3333,0
1000676,1,16276,1,2399.4999,0
1000677,0,51995,1,3872.6667,0
1000678,0,44522,6,5560.6666,1
1000679,0,26400,1,3347.3333,0
1000680,0,37500,1,5070.1666,1
